@RELATION OperacaoMartelo

@ATTRIBUTE precoEntrada REAL
@ATTRIBUTE precoPrimeiroAlvoFibonacci REAL
@ATTRIBUTE precoSegundoAlvoFibonacci REAL
@ATTRIBUTE precoStop REAL
@ATTRIBUTE precoTerceiroAlvoFibonacci REAL
@ATTRIBUTE primeiroAlvoAtingido {0,1}
@ATTRIBUTE pavioInferior REAL
@ATTRIBUTE pavioSuperior REAL
@ATTRIBUTE tipo {Negativo,Neutro,Positivo}
@ATTRIBUTE volumeAcimaMedia20 {0,1}

@data
15.86,16.13,16.31,15.38,16.59,0,89,0,Positivo,1
13.12,13.4,13.57,12.65,13.86,0,89,0,Negativo,1
13.11,13.36,13.53,12.66,13.79,1,72,0,Negativo,1
17.96,18.26,18.45,17.43,18.77,1,76,0,Positivo,1
16.78,17.06,17.24,16.29,17.53,0,78,6,Negativo,1
16.37,16.57,16.7,16,16.92,0,85,5,Positivo,1
15.11,15.53,15.8,14.38,16.24,0,85,2,Positivo,1
15.81,16.04,16.19,15.4,16.43,1,74,0,Positivo,1
15.54,15.71,15.82,15.22,16.01,0,90,6,Negativo,1
14.87,15.03,15.13,14.57,15.31,0,78,7,Negativo,1
12.51,12.66,12.77,12.22,12.93,1,81,0,Positivo,1
12.92,12.99,13.04,12.77,13.12,0,76,7,Negativo,1
12.76,12.86,12.93,12.56,13.04,0,77,5,Negativo,1
12.74,12.93,13.06,12.39,13.26,0,72,9,Negativo,1
15.62,15.74,15.82,15.4,15.95,1,85,0,Positivo,1
15.86,15.94,16,15.68,16.1,0,100,0,Neutro,1
14.2,14.34,14.43,13.95,14.58,1,95,0,Positivo,1
14.01,14.28,14.46,13.53,14.74,1,71,0,Positivo,1
14.79,15.01,15.14,14.42,15.37,0,75,0,Positivo,1
17.98,18.18,18.31,17.61,18.52,0,79,5,Negativo,1
18.21,18.57,18.79,17.59,19.17,1,76,8,Positivo,1
21.5,21.79,21.97,20.99,22.28,0,87,0,Negativo,1
21.51,21.86,22.09,20.9,22.45,1,74,0,Positivo,1
21.51,21.79,21.97,21.02,22.26,1,72,0,Positivo,1
20.97,21.4,21.68,20.22,22.12,0,69,2,Negativo,1
19.69,20.22,20.56,18.79,21.1,0,75,1,Negativo,1
8.81,9.07,9.25,8.34,9.52,0,84,2,Positivo,1
12.31,12.54,12.7,11.89,12.94,1,74,2,Positivo,1
10.16,10.39,10.55,9.74,10.79,1,75,0,Positivo,1
9.2,9.55,9.76,8.62,10.12,0,94,0,Positivo,1
9.16,9.3,9.4,8.89,9.55,0,71,0,Positivo,1
9.75,9.82,9.88,9.59,9.96,0,71,0,Negativo,1
10.31,10.49,10.62,9.97,10.81,0,81,0,Negativo,1
8.66,8.89,9.05,8.24,9.29,0,87,2,Positivo,1
8.75,8.88,8.98,8.49,9.12,0,83,0,Positivo,1
8.89,9.14,9.31,8.44,9.57,0,81,0,Positivo,1
8,8.11,8.19,7.78,8.31,0,95,0,Negativo,1
7.51,7.64,7.74,7.25,7.88,0,79,0,Negativo,1
7.41,7.55,7.65,7.14,7.8,0,100,0,Neutro,1
5.71,5.91,6.05,5.34,6.26,0,82,0,Negativo,1
3.51,3.62,3.7,3.29,3.82,0,75,0,Positivo,1
5.21,5.47,5.65,4.74,5.92,0,77,0,Negativo,1
5.01,5.12,5.2,4.79,5.32,0,100,0,Neutro,1
4.89,4.94,4.97,4.79,5.03,0,88,0,Positivo,1
4.66,4.68,4.7,4.59,4.73,0,79,0,Positivo,1
4.38,4.43,4.48,4.25,4.54,0,81,9,Negativo,1
7.41,7.49,7.55,7.24,7.64,0,100,0,Neutro,1
7.35,7.43,7.47,7.21,7.56,0,92,0,Negativo,1
11.81,12.15,12.38,11.21,12.73,1,82,8,Negativo,1
13.7,13.91,14.04,13.35,14.25,0,73,8,Negativo,1
13.79,13.92,14,13.54,14.15,1,69,0,Positivo,1
17.03,17.29,17.47,16.56,17.74,0,82,4,Negativo,1
12.7,12.92,13.05,12.33,13.28,1,72,2,Negativo,1
12.45,12.57,12.65,12.23,12.78,0,100,0,Neutro,1
12.87,13.11,13.25,12.47,13.5,1,69,0,Negativo,1
12.76,13.06,13.26,12.23,13.57,0,70,0,Positivo,1
11.61,11.76,11.86,11.33,12.02,0,96,0,Positivo,1
11.75,11.92,12.04,11.43,12.22,0,70,6,Positivo,1
9.54,9.68,9.77,9.29,9.92,0,70,0,Negativo,1
10.77,10.94,11.05,10.45,11.24,1,73,3,Positivo,1
12.31,12.47,12.58,12.01,12.75,1,100,0,Neutro,1
11.24,11.49,11.66,10.79,11.92,1,67,4,Negativo,1
10.01,10.12,10.2,9.79,10.32,0,100,0,Neutro,1
9.95,10.07,10.14,9.74,10.27,0,75,0,Negativo,1
15.26,15.38,15.47,15.02,15.6,0,68,9,Positivo,1
14.2,14.52,14.72,13.64,15.06,0,68,0,Negativo,1
13.11,13.6,13.91,12.28,14.41,0,69,0,Negativo,1
12.82,12.93,13.02,12.59,13.14,1,71,9,Negativo,1
13.15,13.46,13.66,12.61,13.98,1,71,0,Negativo,1
12.81,13.23,13.5,12.09,13.93,0,69,0,Negativo,1
13.11,13.43,13.64,12.54,13.98,0,67,5,Negativo,1
12.99,13.21,13.36,12.59,13.59,0,78,5,Negativo,1
12.36,12.57,12.7,11.98,12.93,0,86,0,Positivo,1
12.35,12.56,12.7,11.97,12.92,1,88,2,Negativo,1
11.26,11.35,11.42,11.07,11.52,1,82,0,Positivo,1
11.62,11.84,11.98,11.22,12.22,1,92,5,Positivo,1
13.31,13.4,13.47,13.12,13.57,1,94,5,Neutro,1
13.01,13.14,13.24,12.75,13.38,1,79,4,Positivo,1
12.93,13.07,13.17,12.66,13.32,1,71,7,Positivo,1
12.87,13.02,13.12,12.59,13.28,1,69,3,Positivo,1
11.64,11.95,12.15,11.1,12.47,0,84,3,Negativo,1
11.33,11.53,11.66,10.97,11.87,1,85,0,Positivo,1
11.5,11.63,11.73,11.24,11.87,1,83,0,Negativo,1
11.51,11.64,11.74,11.25,11.88,1,100,0,Neutro,1
11.51,11.64,11.74,11.25,11.88,1,83,0,Positivo,1
9.91,10.08,10.2,9.59,10.38,0,100,0,Neutro,1
10.01,10.22,10.37,9.62,10.59,1,72,0,Positivo,1
8.94,9.25,9.45,8.4,9.77,0,88,0,Positivo,1
8.69,8.82,8.91,8.44,9.05,0,86,0,Negativo,1
8.62,8.78,8.89,8.31,9.07,0,86,3,Negativo,1
8.39,8.51,8.6,8.15,8.73,0,81,0,Positivo,1
7.93,8.09,8.21,7.62,8.38,0,89,0,Negativo,1
11.79,12.03,12.19,11.36,12.44,0,68,0,Positivo,1
11.86,11.97,12.04,11.64,12.17,0,85,0,Positivo,1
12.18,12.47,12.66,11.67,12.96,0,73,0,Positivo,1
11.95,12.15,12.28,11.61,12.48,1,81,0,Negativo,1
13.84,14.04,14.18,13.47,14.39,1,74,8,Negativo,1
13.1,13.23,13.32,12.85,13.46,1,78,4,Negativo,1
18.81,19.06,19.23,18.36,19.49,0,69,0,Positivo,1
16.36,16.78,17.05,15.64,17.48,1,78,1,Negativo,1
16.76,17.04,17.23,16.25,17.52,0,68,0,Positivo,1
15.7,15.85,15.95,15.41,16.12,1,74,0,Negativo,1
17.55,17.82,18,17.06,18.28,1,67,0,Negativo,1
