@RELATION OperacaoMarubozu

@ATTRIBUTE porcentagemOperacaoFinal REAL
@ATTRIBUTE precoEntrada REAL
@ATTRIBUTE precoPrimeiroAlvoFibonacci REAL
@ATTRIBUTE precoSegundoAlvoFibonacci REAL
@ATTRIBUTE precoStop REAL
@ATTRIBUTE precoTerceiroAlvoFibonacci REAL
@ATTRIBUTE primeiroAlvoAtingido {0,1}
@ATTRIBUTE segundoAlvoAtingido {0,1}
@ATTRIBUTE start {0,1}
@ATTRIBUTE terceiroAlvoAtingido {0,1}
@ATTRIBUTE pavioInferior {0,1,2}
@ATTRIBUTE pavioSuperior {0,1,2}
@ATTRIBUTE tipo {0,1}
@ATTRIBUTE variacaoPreco {0,1,2,3}
@ATTRIBUTE volumeAcimaMedia20 {0,1}

@DATA
9.46,27.99,29.59,30.6,25.34,32.21,0,0,1,0,2,2,1,1,1
10.1,10.29,9.66,9.28,11.33,8.64,0,0,1,0,2,1,0,0,1
2.11,35.59,33.33,31.93,39.28,29.66,1,0,1,0,1,1,0,1,1
1.98,37.58,39.82,41.22,33.91,43.47,1,0,1,0,1,0,1,0,1
6.34,13.86,14.38,14.7,12.98,15.24,0,0,1,0,2,0,1,0,1
4.41,50.14,51.58,52.49,47.76,53.94,1,1,1,0,0,0,1,0,1
5.65,15.92,16.45,16.79,15.02,17.33,0,0,1,0,0,0,1,0,1
17.67,15.24,16.78,17.74,12.71,19.29,1,1,1,1,0,0,1,1,1
8.03,25.89,27.15,27.93,23.81,29.21,0,0,1,0,0,1,1,1,1
2.1,10.28,10.93,11.34,9.19,12,1,0,1,0,0,2,1,1,1
7.38,20.21,21.06,21.59,18.79,22.46,1,1,1,1,0,1,1,0,1
18.71,24.68,22.04,20.4,29.01,17.74,1,1,1,1,2,0,0,2,1
7.81,29.98,31.5,32.45,27.47,33.98,1,1,1,0,1,1,1,0,1
5.4,24.02,22.94,22.27,25.82,21.17,1,1,1,0,0,1,0,0,1
4.55,37.44,36.02,35.15,39.76,33.72,1,1,1,0,0,0,0,2,1
2.89,24.22,22.12,20.81,27.67,18.7,1,0,1,0,2,2,0,0,1
6.34,43,44.77,45.88,40.09,47.66,1,1,1,0,0,0,1,0,1
0,15.59,16.06,16.36,14.79,16.84,0,0,0,0,2,0,1,0,1
1.13,22.09,21.34,20.86,23.36,20.1,1,0,1,0,2,0,0,0,1
0,15.07,14.32,13.86,16.31,13.1,0,0,0,0,2,1,0,0,1
14.7,10.91,11.95,12.61,9.18,13.66,1,1,1,0,1,1,1,0,1
16.45,34.57,38.06,40.23,28.88,43.73,0,0,1,0,1,0,1,3,1
12.37,11.01,10.23,9.75,12.29,8.96,1,1,1,1,0,0,0,0,1
1.2,47.22,45.51,44.45,50.01,42.74,1,0,1,0,0,0,0,0,1
4.93,48.34,46.36,45.13,51.58,43.14,1,1,1,0,0,1,0,0,1
11.5,47.99,44.6,42.5,53.51,39.1,0,0,1,0,0,0,0,1,1
3.93,12.26,12.53,12.71,11.78,12.99,1,1,1,1,1,2,1,0,1
5.42,12.53,12.92,13.18,11.85,13.58,0,0,1,0,2,0,1,0,1
6.13,26.14,27.05,27.63,24.61,28.55,1,1,1,1,1,2,1,0,1
5.2,17.5,16.95,16.62,18.41,16.06,0,0,1,0,0,0,0,0,1
2.64,11.12,10.95,10.85,11.42,10.67,1,1,1,1,0,0,0,0,1
7.69,12.11,12.64,12.97,11.21,13.52,1,1,1,1,2,0,1,0,1
1,25.95,26.73,27.22,24.65,28.01,1,0,1,0,0,0,1,0,1
0.85,10.11,10.37,10.54,9.64,10.82,1,0,1,0,0,0,1,0,1
4.27,28.54,29.33,29.84,27.2,30.64,1,1,1,0,2,1,1,0,1
0,22.24,19.85,18.37,26.14,15.97,0,0,0,0,0,0,0,2,1
0,10.48,10.78,10.98,9.95,11.29,0,0,0,0,2,1,1,0,1
11.98,10.59,11.31,11.77,9.38,12.5,1,1,1,1,1,0,1,2,1
1.79,15.25,16.07,16.59,13.88,17.42,1,0,1,0,0,1,1,0,1
7,10.76,11.25,11.56,9.93,12.06,1,1,1,0,2,1,1,0,1
1.65,14.91,15.65,16.12,13.67,16.87,1,0,1,0,2,2,1,1,1
7.07,10.74,11.23,11.55,9.9,12.05,1,1,1,0,2,0,1,0,1
14.04,16.16,17.54,18.4,13.89,19.79,0,0,1,0,0,0,1,3,1
1.57,14.37,15.05,15.47,13.25,16.16,1,0,1,0,2,1,1,0,1
1.65,54.43,57.14,58.83,50,61.55,1,0,1,0,0,1,1,2,1
12.98,14.79,13.62,12.9,16.71,11.72,0,0,1,0,1,0,0,3,1
5.02,34.99,33.53,32.63,37.37,31.16,1,1,1,0,2,0,0,0,1
1.67,15.51,16.29,16.79,14.2,17.58,1,0,1,0,1,0,1,1,1
9.13,50.11,52.73,54.36,45.83,56.99,1,1,1,1,1,1,1,0,1
5.68,25.49,24.66,24.15,26.86,23.31,1,1,1,1,0,1,0,0,1
6.04,22.07,22.83,23.31,20.79,24.08,1,1,1,1,0,1,1,0,1
8.99,31.24,32.94,34.01,28.43,35.72,0,0,1,0,2,2,1,1,1
5.01,14.36,14.78,15.04,13.64,15.48,0,0,1,0,0,2,1,0,1
3.9,19.74,20.18,20.47,18.97,20.92,0,0,1,0,2,2,1,0,1
7.12,75.46,78.75,80.8,70.08,84.1,0,0,1,0,0,0,1,0,1
0.56,54.76,55.68,56.27,53.22,57.2,1,0,1,0,1,0,1,0,1
4.73,19.01,19.54,19.88,18.11,20.42,0,0,1,0,2,0,1,0,1
6.19,31.13,32.3,33.03,29.2,34.21,0,0,1,0,2,0,1,0,1
6.38,16.75,16.11,15.71,17.82,15.06,0,0,1,0,2,1,0,0,1
5.81,37.51,36.18,35.36,39.69,34.02,0,0,1,0,2,0,0,0,1
8.26,18.41,19.4,20.01,16.77,21.02,1,1,1,0,2,2,1,0,1
0,12.99,12.46,12.14,13.87,11.6,0,0,0,0,0,0,0,0,1
8.28,12.19,11.58,11.2,13.2,10.59,0,0,1,0,0,2,0,0,1
4.64,14.2,14.6,14.84,13.54,15.25,0,0,1,0,0,0,1,0,1
4.43,13.48,12.98,12.68,14.31,12.17,1,1,1,0,0,1,0,0,1
8.95,14.01,14.72,15.18,12.81,15.9,1,1,1,1,0,0,1,0,1
1.18,25.51,26.42,27,23.99,27.92,1,0,1,0,0,2,1,0,1
0,12.95,13.5,13.84,12.04,14.4,0,0,0,0,2,2,1,1,1
1.11,16.99,17.56,17.93,16.02,18.51,1,0,1,0,1,1,1,0,1
